uniqid,isocntry,d11,d70,sd18a,sd18b,d1,d7,d9a_1,d9a_2,d9a_3,d9a_4,d9a_5,d9a_6,d9a_7,d9a_8,d9a_9,d9a_10,d9a_11,d9a_12,d9a_13,d10,d25,d40b_r,d63
20001258,AT,47,Very satisfied,Fairly satisfied,Fairly satisfied,Box 3,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001259,AT,30,Very satisfied,Not very satisfied,Not very satisfied,DK (SPONT.),(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,Two,The working class of society
20001260,AT,34,Very satisfied,Very satisfied,Very satisfied,Box 1 - left,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001261,AT,18,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001262,AT,71,Fairly satisfied,Very satisfied,Fairly satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001263,AT,50,Very satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001264,AT,58,Not very satisfied,Not at all satisfied,Not at all satisfied,Box 7,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001265,AT,64,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001266,AT,29,Fairly satisfied,Not at all satisfied,Not at all satisfied,Refusal (SPONT.),Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001267,AT,61,Fairly satisfied,Not very satisfied,Not very satisfied,Box 3,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001268,AT,67,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001269,AT,68,Fairly satisfied,Not very satisfied,Not very satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The lower middle class of society
20001270,AT,67,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The lower middle class of society
20001271,AT,32,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001272,AT,81,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Widow: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001273,AT,52,Very satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001274,AT,69,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001275,AT,31,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001276,AT,22,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001277,AT,57,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The lower middle class of society
20001278,AT,42,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001279,AT,21,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001280,AT,62,Very satisfied,Fairly satisfied,Fairly satisfied,DK (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001281,AT,30,Very satisfied,Fairly satisfied,Fairly satisfied,Refusal (SPONT.),(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,Two,DK (SPONT.)
20001282,AT,40,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 4,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The lower middle class of society
20001283,AT,58,Very satisfied,Not very satisfied,Not at all satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001284,AT,69,Fairly satisfied,Very satisfied,Fairly satisfied,DK (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001285,AT,50,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,DK (SPONT.)
20001286,AT,39,Very satisfied,Very satisfied,Not very satisfied,Box 3,Single liv w partner: childr this union,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,Two,DK (SPONT.)
20001287,AT,48,Very satisfied,Fairly satisfied,Fairly satisfied,Box 4,(Re-)Married: children prev marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,One,The middle class of society
20001288,AT,40,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 7,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001289,AT,74,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Doctoral or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001290,AT,78,Very satisfied,Fairly satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001291,AT,62,Very satisfied,Not very satisfied,Not very satisfied,Box 10 - right,Single: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001292,AT,24,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 2,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001293,AT,49,Fairly satisfied,Fairly satisfied,Very satisfied,Box 10 - right,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001294,AT,52,Very satisfied,Fairly satisfied,Fairly satisfied,Box 1 - left,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001295,AT,78,Fairly satisfied,Very satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001296,AT,57,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The lower middle class of society
20001297,AT,54,Fairly satisfied,Not very satisfied,Not very satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001298,AT,51,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001299,AT,49,Not very satisfied,Not very satisfied,Not very satisfied,DK (SPONT.),Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001300,AT,76,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 8,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001301,AT,38,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,One,The middle class of society
20001302,AT,62,Fairly satisfied,Very satisfied,Very satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Doctoral or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The upper middle class of society
20001303,AT,17,Fairly satisfied,Not very satisfied,Not very satisfied,Box 4,Single: with children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The upper middle class of society
20001304,AT,72,Very satisfied,Very satisfied,Very satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001305,AT,71,Fairly satisfied,Not very satisfied,Not very satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The lower middle class of society
20001306,AT,33,Not at all satisfied,Not very satisfied,Don't know (SPONTANEOUS),Box 6,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001307,AT,77,Fairly satisfied,Not very satisfied,Not very satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001308,AT,69,Fairly satisfied,Fairly satisfied,Not very satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001309,AT,28,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 8,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001310,AT,80,Not very satisfied,Not very satisfied,Not at all satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001311,AT,33,Very satisfied,Very satisfied,Very satisfied,Box 10 - right,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001312,AT,67,Fairly satisfied,Not very satisfied,Very satisfied,Box 2,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The upper middle class of society
20001313,AT,44,Very satisfied,Very satisfied,Don't know (SPONTANEOUS),Box 1 - left,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,None (SPONT.)
20001314,AT,47,Fairly satisfied,Not at all satisfied,Not very satisfied,Box 7,(Re-)Married: children this/prev marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,Two,The upper middle class of society
20001315,AT,32,Not very satisfied,Not very satisfied,Not very satisfied,Box 4,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001316,AT,61,Very satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001317,AT,33,Not very satisfied,Not very satisfied,Fairly satisfied,Box 8,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The upper middle class of society
20001318,AT,48,Not very satisfied,Fairly satisfied,Not very satisfied,Box 8,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001319,AT,33,Not at all satisfied,Not very satisfied,Not very satisfied,Box 4,Divorced/Separated: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,Two,The middle class of society
20001320,AT,63,Not very satisfied,Not very satisfied,Not very satisfied,Box 7,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001321,AT,41,Very satisfied,Fairly satisfied,Not very satisfied,Box 7,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,One,The middle class of society
20001322,AT,52,Very satisfied,Not at all satisfied,Not very satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001323,AT,39,Fairly satisfied,Not very satisfied,Fairly satisfied,Box 1 - left,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,One,The upper middle class of society
20001324,AT,25,Fairly satisfied,Fairly satisfied,Very satisfied,Box 4,Single liv w partner: childr this union,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,One,The middle class of society
20001325,AT,72,Not at all satisfied,Not at all satisfied,Not very satisfied,Box 10 - right,Divorced/Separated: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001326,AT,54,Fairly satisfied,Not very satisfied,Not at all satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001327,AT,30,Fairly satisfied,Very satisfied,Fairly satisfied,DK (SPONT.),Single liv w partner: childr this union,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,One,The working class of society
20001328,AT,37,Very satisfied,Fairly satisfied,Very satisfied,Box 4,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001329,AT,78,Very satisfied,Fairly satisfied,Very satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Doctoral or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The upper middle class of society
20001330,AT,46,Not very satisfied,Fairly satisfied,Very satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,Three,The upper middle class of society
20001331,AT,35,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 10 - right,Single liv w partner: childr this union,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,Two,The middle class of society
20001332,AT,39,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 8,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,One,The lower middle class of society
20001333,AT,68,Fairly satisfied,Fairly satisfied,Not at all satisfied,Box 1 - left,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001334,AT,35,Very satisfied,Very satisfied,Fairly satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,Two,The middle class of society
20001335,AT,72,Not very satisfied,Not very satisfied,Fairly satisfied,Box 8,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The working class of society
20001336,AT,20,Fairly satisfied,Fairly satisfied,Very satisfied,Box 4,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,None (SPONT.)
20001337,AT,43,Very satisfied,Not very satisfied,Fairly satisfied,Box 5,Single liv w partner: childr this union,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The lower middle class of society
